trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,file,color,angle,bio_control,key_response.keys,key_response.corr,globalClock,fix_cross_starttime,dot_stim_starttime,response_starttime,key_response.rt,frameRate,expName,session,participant,Number of Trials,
0,0,0,0,Peddle_Control,"(0, 100, 0)",1,1,[],0,4.62107992172,0.178284168243,1.97344899178,1.97344899178,[],60.0218661813,bio_motion_task,001,999,40,
1,0,1,0,Paint,"(0, 100, 0)",1,0,[],0,9.01915788651,4.79957485199,6.37142276764,6.37142276764,[],60.0218661813,bio_motion_task,001,999,40,
2,0,2,0,Jump_Control,"(255, 0, 0)",1,1,[],0,13.2697069645,9.15452694893,10.6002628803,10.6002628803,[],60.0218661813,bio_motion_task,001,999,40,
3,0,3,0,Sweep,"(255, 0, 0)",0,0,[],0,17.5863139629,13.4127709866,14.9219899178,14.9219899178,[],60.0218661813,bio_motion_task,001,999,40,
4,0,4,0,Spade,"(255, 0, 0)",1,0,[],0,21.3877558708,17.7603600025,18.7371799946,18.7371799946,[],60.0218661813,bio_motion_task,001,999,40,
5,0,5,0,Playpool_Control,"(255, 0, 0)",1,1,[],0,25.4248189926,21.7878949642,22.8721539974,22.8721539974,[],60.0218661813,bio_motion_task,001,999,40,
6,0,6,0,Mow_Control,"(0, 100, 0)",1,1,[],0,29.5884759426,25.5905258656,26.917350769,26.917350769,[],60.0218661813,bio_motion_task,001,999,40,
7,0,7,0,Saw,"(0, 100, 0)",0,0,[],0,33.7011749744,29.6755189896,31.012185812,31.012185812,[],60.0218661813,bio_motion_task,001,999,40,
